raw,rewritten,similarity
"the invention relates to a system and a method for detecting broken rails for a railway line, designed to detect the breakage by means of electrical discontinuity in at least one rail (r). the system comprises an emitting node (1), a receiving node (2), and connection means for generating an electrical circuit between both nodes (1, 2) and the section of rails (r), of up to 7km between both nodes (1, 2), whereinto the emitting node (1) injects an alternating electrical signal. the system also comprises a detector (s) associated with each rail (r) in order to detect the alternating electrical signal through the corresponding rail (r), and control means that receive the detected signals and determine whether there is electrical discontinuity in the electrical circuit, identifying the broken rail (r). in the event of double-track railway lines, the broken rail (r) is also identified and the break area is estimated.","the invention pertains to a system and method for detecting broken rails on a railway line by identifying electrical discontinuities in at least one rail (r). the system includes an emitting node (1), a receiving node (2), and connection means that establish an electrical circuit between these nodes (1, 2) and the rail section (r) spanning up to 7 km between them. the emitting node (1) injects an alternating electrical signal into the circuit. furthermore, the system is equipped with a detector (s) associated with each rail (r) to sense the alternating signal along the corresponding rail (r), and a control unit that processes these detected signals to determine whether there is an electrical discontinuity—thus pinpointing the broken rail (r). for double-track railway lines, the system additionally identifies the specific broken rail (r) and estimates the location of the break area.",0.9626665
"epure m., prior d. and serarols c. assessing technology-based spin-offs from university support units, regional studies. this paper takes a regional studies approach to assess spin-offs from a university-based technology transfer network. it first detects the regional objectives, inputs and outputs needed to assess spin-offs from support programmes. it then provides evidence on regional mechanisms for firm creation. spin-offs created at catalan universities are analysed and it is found that many efficient spin-offs have formal technology transfer agreements, and emerge from technology-oriented universities. it is also found that higher innovation levels and experience from the parent university are associated with higher efficiency, which is positively related to future fundamental profitability. finally, regional policy-making and research directions are proposed.","epure, m., prior, d., and serarols, c. evaluate technology-based spin-offs emerging from university support units through a regional studies framework. the paper adopts a regional perspective to examine spin-offs within a university’s technology transfer network. initially, it identifies the regional objectives, inputs, and outputs necessary for evaluating spin-offs from these support programs. it then presents evidence on the regional mechanisms that drive firm creation. an analysis of spin-offs from catalan universities reveals that many successful ventures have formal technology transfer agreements and originate from technology-driven institutions. additionally, the study finds that higher levels of innovation and greater experience from the parent university are associated with increased efficiency, which in turn is linked to higher future profitability. the paper concludes by proposing implications for regional policy-making and outlining directions for future research.",0.9833534
"urea sensor seal structure that is qualified for next round of competitions including electron tube and plastic head, is equipped with the flotation pontoon on the electron tube, be equipped with the electron plate in the electron tube, and the electron plate overcoat has the electron plate pipe, has the signal line to draw on the electron plate pipe, and the middle part is equipped with well plug in the electron tube, and the electron plate passes well plug, with well plug interference fit, the electron tube upper end is equipped with the plug, and the rubberizing is equipped with the signal line beyond the great wall and passes the hole, and signal line passing signal line passes the hole and passes the plug, and the signal line passes downthehole portion and is equipped with annular boss, and the internal diameter of annular boss is lighter than the line footpath of signal line, rubberizing portion has beyond the great wall irritated sealed gluey, the overhead sealing plug of being qualified for the next round of competitions that is equipped with of plastic, signal line wrap up wired bundle of crust outward, and the parcel has the signal line of pencil crust to pass the sealing plug of being qualified for the next round of competitions, the pencil crust and the sealing plug interference fit that is qualified for the next round of competitions, and the one end of signal line entering linear sealing stopper has been irritated sealed and has been glued. the utility model discloses it is sealed effectual.","the urea sensor sealing structure, qualified for the next round of competitions, comprises an electron tube and a plastic head. the electron tube is fitted with a flotation pontoon and includes an electron plate, which is covered by an electron plate overcoat that features an electron plate pipe. a signal line is drawn through this pipe. in the middle of the electron tube, a well plug is installed through which the electron plate passes, creating an interference fit. at the upper end of the electron tube, a plug is provided. beyond a feature referred to as the “great wall,” a rubberized section holds the signal line, allowing it to pass through a hole and another plug. the signal line then continues into a down-the-hole area equipped with an annular boss, whose internal diameter is smaller than the cross-sectional width of the signal line. the rubberized part beyond the “great wall” is also coated with a glue-like sealant. additionally, a plastic sealing plug—also qualified for the next round of competitions—is installed at the top. here, the signal line is wrapped with a wired bundle crust that projects outward, and the portion of the signal line with a pencil crust passes through this sealing plug to form an interference fit. one end of the signal line entering a linear sealing stopper is further sealed with an irritant adhesive. the utility model demonstrates that this design achieves an effective sealing performance.",0.86667
"the utility model provides a novel obviously adorn return air inlet formula air purifier, has ordinary return air inlet appearance structure, but the direct mount, the purification module of being connected including the return air inlet, with the power, wherein, purification module and return air inlet establish as an organic wholely, the return air inlet by the frame and with the inside casing of frame round pin hub connection constitute can open return air inlet including, be equipped with between the frame and prevent air current from the sealing member of the slot leakage between the interior frame, during the installation, the frame is by fixed, the inside casing rotates or is fixed along the round pin axle, in the frame, the inside casing inwards stand by as an outsider and to be equipped with air -inlet grille, coarse filtration net and to purify the module according to the preface. the utility model discloses it is convenient to maintain, opens the inside casing and can take out the purification module, the security is good, purifies the module and adopts whole encapsulation, encapsulates high pressure package and collection dirt part as an organic whole, and nos any high pressure contacts and exposes, the filter capacity is strong, can filter the pm2.5 particulate matter, low windage.","the utility model discloses a novel, aesthetically pleasing air purifier with an innovative return air inlet design. although its return air inlet has a conventional external appearance, the purification module is directly mounted and connected to the return air inlet along with the power supply. in this design, the purification module and the return air inlet are integrated into a unified, organic whole. the return air inlet is composed of a frame and an inner casing that is connected to the frame via a round pin hub, forming an openable structure. a sealing member is installed between the frame and the casing to prevent air leakage through the gaps. during installation, the frame is fixed while the inner casing can either rotate or remain stationary around the round pin axle. inside the frame, the inner casing is positioned so that its inward side faces outward, and it is equipped with an air-inlet grille, a coarse filtration net, and the purification module as described. this design offers ease of maintenance since the inner casing can be opened to remove the purification module. safety is enhanced by the fact that the purification module is entirely encapsulated; the high-pressure packaging that collects particulate dirt is integrated as a single unit, with no high-pressure contacts or exposures. moreover, the device exhibits strong filtering capability, effectively filtering pm2.5 particles while maintaining low wind resistance.",0.86946946
"the invention provides an album-based social group establishment method and device. the method comprises the following steps: acquiring photos, and grouping the acquired photos to generate an album; creating an album-based social group and inviting friends to add the social group; providing an operation interface for operating the photos in the album for group members through the social group, and acquiring operation results of the group members in the social group to the photos by the social group, and when acquiring the operation result of any group member, displaying the operation result to all the group members in the social group. the social group is established on the basis of the album, and various social functions and various operations to the photos are realized conveniently.","the invention introduces a method and device for establishing a social group based on an album. the method includes the following steps: first, collecting photos and organizing them to form an album; next, creating a social group centered around that album and inviting friends to join; then, providing an interface that allows group members to interact with the photos in the album, where the system records the actions taken by each member; and finally, whenever an action is recorded for any member, the result is displayed to all members of the group. this approach, which builds the social group around the album, allows for a range of social features and convenient photo interactions.",0.94091165
"in this paper, an intelligent scheme for detecting incipient defects in spur gears is presented. in fact, the study has been undertaken to determine these defects in a single propeller system of a small-sized unmanned helicopter. it is important to remark that although the study focused on this particular system, the obtained results could be extended to other systems known as auvs (autonomous unmanned vehicles), where the usage of polymer gears in the vehicle transmission is frequent. few studies have been carried out on these kinds of gears. in this paper, an experimental platform has been adapted for the study and several samples have been prepared. moreover, several vibration signals have been measured and their time-frequency characteristics have been taken as inputs to the diagnostic system. in fact, a diagnostic system based on an artificial intelligence strategy has been devised. furthermore, techniques based on several paradigms of the artificial intelligence (neural networks, fuzzy systems and genetic algorithms) have been applied altogether in order to design an efficient fault diagnostic system. a hybrid genetic neuro-fuzzy system has been developed, where it is possible, at the final stage of the learning process, to express the fault diagnostic system as a set of fuzzy rules. several trials have been carried out and satisfactory results have been achieved.","this paper presents an intelligent approach for detecting early-stage defects in spur gears. the investigation specifically targeted defect detection in the single propeller system of a small unmanned helicopter. although the focus was on this unique system, the findings can be applied to other platforms such as autonomous unmanned vehicles (auvs), where polymer gears are commonly used in transmission systems—a subject with limited prior research. an experimental platform was modified for this study, and multiple samples were prepared. numerous vibration signals were recorded, and their time-frequency characteristics served as inputs to the diagnostic system. a diagnostic framework was then developed using an artificial intelligence strategy, integrating various ai paradigms—including neural networks, fuzzy systems, and genetic algorithms—to create an efficient fault detection system. the result is a hybrid genetic neuro-fuzzy system that, by the end of the training process, allows the fault diagnosis to be represented through a set of fuzzy rules. extensive trials were conducted, achieving satisfactory results.",0.977068
"cholangiocarcinoma (cca) is a heterogeneous group of malignancies with features of biliary tract differentiation. cca is the second most common primary liver tumour and the incidence is increasing worldwide. cca has high mortality owing to its aggressiveness, late diagnosis and refractory nature. in may 2015, the ""european network for the study of cholangiocarcinoma"" (ens-cca: www.enscca.org or www.cholangiocarcinoma.eu) was created to promote and boost international research collaboration on the study of cca at basic, translational and clinical level. in this consensus statement, we aim to provide valuable information on classifications, pathological features, risk factors, cells of origin, genetic and epigenetic modifications and current therapies available for this cancer. moreover, future directions on basic and clinical investigations and plans for the ens-cca are highlighted.","cholangiocarcinoma (cca) comprises a diverse group of malignancies that exhibit biliary tract differentiation. it ranks as the second most common primary liver tumor, and its incidence is rising globally. due to its aggressive nature, late detection, and resistance to treatment, cca has a high mortality rate. in may 2015, the european network for the study of cholangiocarcinoma (ens-cca: www.enscca.org or www.cholangiocarcinoma.eu) was established to foster international research collaboration on the disease across basic, translational, and clinical studies. this consensus statement offers essential insights into various aspects of cca, including its classifications, pathological characteristics, risk factors, cells of origin, genetic and epigenetic alterations, and the currently available therapeutic options. additionally, it outlines future directions for both basic and clinical research and details upcoming plans for ens-cca.",0.9902576
"the utility model discloses an ore material blanking discharge apparatus, it includes the storage silo, the middle part of storage silo is provided with a center post, the center post is hollow structure, a plurality of feed ports have been seted up all around at the center post, the inside toper arch that is provided with of center post, the top of center post is provided with a centrifugal discharge apparatus, centrifugal discharge apparatus include drive arrangement, the feeder hopper, unloading pipe and the toper wheel of unloading, unloading pipe upper end is connected with the feeder hopper, unloading pipe lower extreme and toper are unloaded and round are connected, unloading pipe lower extreme is provided with a plurality of discharge openings, the toper is unloaded and is installed a plurality of guide plates on the conical surface of wheel, a plurality of discharge openings have been seted up on the bottom surface of storage silo, be provided with a dam device in the discharge opening, dam device comprises with the driving motor that the drive picture peg inserted the discharge opening the picture peg, the picture peg level is inserted in the discharge opening, driving motor is connected with the controller. the beneficial effects of the utility model are that: it has that the ore material handling capacity is big, low in labor strength and the advantage that can fix a point to unload.","the utility model discloses an ore material blanking discharge apparatus comprising a storage silo with a centrally positioned, hollow center post. this center post features several feed ports arranged around its circumference and contains an arch-shaped toper within its interior. atop the center post, a centrifugal discharge apparatus is installed. this apparatus includes a drive arrangement, a feeder hopper, an unloading pipe, and an unloading toper wheel. the feeder hopper connects to the upper end of the unloading pipe, while its lower end links in a circular fashion to the toper. the unloading pipe is equipped with multiple discharge openings near its lower end, and the toper wheel has several guide plates installed on its conical surface to facilitate proper discharge. additionally, the bottom surface of the storage silo has several discharge openings, each fitted with a dam device. this dam device consists of a driving motor that actuates a picture peg inserted into the discharge opening; the picture peg spans the opening at the same level and is connected to a controller. the advantages of this design include a high capacity for handling ore material, reduced labor intensity, and the capability to discharge material at a fixed point.",0.8357382
"the emergence of social enterprises (ses) within criminal justice jurisdictions across europe has increased significantly in recent years. prison- and community-based income-generating businesses are providing employment for those who find it most difficult to secure jobs as a result of their previous criminal lifestyles. combining a business model with a social mission, ses are particularly attractive to those working with offenders, as securing employment plays a key role in recidivism rates. despite the proven successes of ses in criminal justice sectors across europe, they remain uncharted territory here in ireland. based on primary research conducted with key stakeholders from the department of justice, the irish prison service, the probation service and the community and voluntary sector, this paper explores the factors that support or hinder the development of ses across the irish criminal justice system. it concludes by proposing possible next steps to addressing the factors that have delayed their development up to this point.","in recent years, there has been a notable growth in the presence of social enterprises (ses) within the criminal justice systems across europe. both prison-based and community-oriented income-generating ventures are now offering employment opportunities to individuals who struggle to secure work due to their criminal pasts. by blending commercial strategies with a social purpose, these enterprises are especially valued by professionals working with offenders, as stable employment is crucial for reducing recidivism. although social enterprises have proven effective in various criminal justice contexts throughout europe, they largely remain unexplored in ireland. this paper, based on primary research involving key figures from the department of justice, the irish prison service, the probation service, and the community and voluntary sector, examines the elements that either foster or impede the expansion of ses within the irish criminal justice framework. it concludes by suggesting potential steps to overcome the obstacles that have thus far hindered their development.",0.9869577
"the invention relates to a laser engraving manufacturing process for a fine circuit. the manufacturing process comprises the following steps: step 1, preparing a thin circuit with a width of less than or equal to 0.1 mm through a laser engraving manner in an lds plastic part by utilizing an lds laser; step 2, mounting the laser engraved plastic part on a jig that combines a roller and a suspension frame; step 3, performing chemical plating treatment on the laser engraved plastic part to obtain a required metal layer on the circuit; and step 4, performing electrical logging on the circuit after the metal layer is obtained. by adoption of the laser engraving manufacturing process for the fine circuit, large-scale production of the fine circuit with the thickness of less than or equal to 0.1 mm can be realized, and the applied range of the lds process is expanded.","the present invention concerns a laser engraving manufacturing process for fine circuits. the process includes the following steps: 1. preparing a fine circuit with a width of 0.1 mm or less by laser engraving an lds plastic part using an lds laser. 2. securing the laser-engraved plastic part onto a jig that integrates a roller with a suspension frame. 3. conducting a chemical plating treatment on the laser-engraved plastic part to form the required metal layer on the circuit. 4. performing electrical logging on the circuit once the metal layer has been applied. by employing this laser engraving method for fine circuits, it becomes possible to achieve large-scale production of circuits with a thickness of 0.1 mm or less, thereby broadening the range of applications for the lds process.",0.94328046
